___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  60   3  -61.00  -85.00       -0.1461
  61   3  -59.00  -85.00       -0.1461
  62   3  -57.00  -85.00       -0.1461
  63   3  -55.00  -85.00       -0.1461
  64   3  -53.00  -85.00       -0.1461
  65   3  -51.00  -85.00       -0.1461
  66   3  -49.00  -85.00       -0.1461
  67   3  -47.00  -85.00       -0.1461
  68   3  -45.00  -85.00       -0.1461
  69   3  -43.00  -85.00       -0.1461
  70   3  -41.00  -85.00       -0.1461
  71   3  -39.00  -85.00       -0.1461
  72   3  -37.00  -85.00       -0.1461
  73   3  -35.00  -85.00       -0.1461
  74   3  -33.00  -85.00       -0.1461
  75   3  -31.00  -85.00       -0.1461
  76   3  -29.00  -85.00       -0.1461
  77   3  -27.00  -85.00       -0.1461
  78   3  -25.00  -85.00       -0.1461
  79   3  -23.00  -85.00       -0.1461
  80   3  -21.00  -85.00       -0.1461
  81   3  -19.00  -85.00       -0.1461
  82   3  -17.00  -85.00       -0.1461
  83   3  -15.00  -85.00       -0.1461
  84   3  -13.00  -85.00       -0.1461
  85   3  -11.00  -85.00       -0.1461
  86   3   -9.00  -85.00       -0.1461
  87   3   -7.00  -85.00       -0.1461
  88   3   -5.00  -85.00       -0.1461
  89   3   -3.00  -85.00       -0.1461
  90   3   -1.00  -85.00       -0.1461
  91   3    1.00  -85.00       -0.1461
  92   3    3.00  -85.00       -0.1461
  93   3    5.00  -85.00       -0.1461
  94   3    7.00  -85.00       -0.1461
  95   3    9.00  -85.00       -0.1461
  96   3   11.00  -85.00       -0.1461
  97   3   13.00  -85.00       -0.1461
  98   3   15.00  -85.00       -0.1461
  99   3   17.00  -85.00       -0.1461
 100   3   19.00  -85.00       -0.1461
 101   3   21.00  -85.00       -0.1461
 102   3   23.00  -85.00       -0.1461
 103   3   25.00  -85.00       -0.1461
 104   3   27.00  -85.00       -0.1461
 105   3   29.00  -85.00       -0.1461
 106   3   31.00  -85.00       -0.1461
 107   3   33.00  -85.00       -0.1461
 108   3   35.00  -85.00       -0.1461
 109   3   37.00  -85.00       -0.1461
 110   3   39.00  -85.00       -0.1461
 111   3   41.00  -85.00       -0.1461
 112   3   43.00  -85.00       -0.1461
