_______June_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 124   2   67.00  -87.00       -2.3353
 125   2   69.00  -87.00       -2.3353
 126   2   71.00  -87.00       -2.3353
 127   2   73.00  -87.00       -2.3353
 128   2   75.00  -87.00       -2.3353
 129   2   77.00  -87.00       -2.3353
 130   2   79.00  -87.00       -2.3353
 131   2   81.00  -87.00       -2.3353
 132   2   83.00  -87.00       -2.3353
 133   2   85.00  -87.00       -2.3353
 134   2   87.00  -87.00       -2.3353
 135   2   89.00  -87.00       -2.3353
 136   2   91.00  -87.00       -2.3353
 137   2   93.00  -87.00       -2.3353
 138   2   95.00  -87.00       -2.3353
 139   2   97.00  -87.00       -2.3353
 140   2   99.00  -87.00       -2.3353
 141   2  101.00  -87.00       -2.3353
 142   2  103.00  -87.00       -2.3353
 143   2  105.00  -87.00       -2.3353
 144   2  107.00  -87.00       -2.3353
 145   2  109.00  -87.00       -2.3353
 146   2  111.00  -87.00       -2.3353
 147   2  113.00  -87.00       -2.3353
 148   2  115.00  -87.00       -2.3353
 149   2  117.00  -87.00       -2.3353
 150   2  119.00  -87.00       -2.3353
 151   2  121.00  -87.00       -2.3353
 152   2  123.00  -87.00       -2.3353
 153   2  125.00  -87.00       -2.3353
 154   2  127.00  -87.00       -2.3353
 155   2  129.00  -87.00       -2.3353
 156   2  131.00  -87.00       -2.3353
 157   2  133.00  -87.00       -2.3353
 158   2  135.00  -87.00       -2.3353
 159   2  137.00  -87.00       -2.3353
 160   2  139.00  -87.00       -2.3353
 161   2  141.00  -87.00       -2.3353
 162   2  143.00  -87.00       -2.3353
 163   2  145.00  -87.00       -2.3353
 164   2  147.00  -87.00       -2.3353
 165   2  149.00  -87.00       -2.3353
 166   2  151.00  -87.00       -2.3353
 167   2  153.00  -87.00       -2.3353
 168   2  155.00  -87.00       -2.3353
 169   2  157.00  -87.00       -2.3353
 170   2  159.00  -87.00       -2.3353
 171   2  161.00  -87.00       -2.3353
 172   2  163.00  -87.00       -2.3353
 173   2  165.00  -87.00       -2.3353
 174   2  167.00  -87.00       -2.3353
 175   2  169.00  -87.00       -2.3353
 176   2  171.00  -87.00       -2.3353
 177   2  173.00  -87.00       -2.3353
 178   2  175.00  -87.00       -2.3353
 179   2  177.00  -87.00       -2.3353
 180   2  179.00  -87.00       -2.3353
   1   3 -179.00  -85.00       -2.3353
   2   3 -177.00  -85.00       -2.3353
   3   3 -175.00  -85.00       -2.3353
   4   3 -173.00  -85.00       -2.3353
   5   3 -171.00  -85.00       -2.3353
   6   3 -169.00  -85.00       -2.3353
   7   3 -167.00  -85.00       -2.3353
   8   3 -165.00  -85.00       -2.3353
   9   3 -163.00  -85.00       -2.3353
  10   3 -161.00  -85.00       -2.3353
  11   3 -159.00  -85.00       -2.3353
  12   3 -157.00  -85.00       -2.3353
